id,title,chart_rank,chart_date,artist,url,region,chart,trend,streams,track_id,album,popularity,duration_ms,explicit,release_date,available_markets,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,predicted_popularity,is_popular
0RMBJCdjpouSYfuYlcMYd0,Pa' que vuelva,0,,,,,,0,0.0,0RMBJCdjpouSYfuYlcMYd0,,0,286986,0,,,0.7570000290870667,0.6309999823570251,4,-6.263999938964844,1,0.1190000027418136,0.2989999949932098,7.4399999903e-06,0.1089999973773956,0.5099999904632568,80.03500366210938,4,1,0
0UBsUpYZsqvchS4rCL3tJI,Moonwaves - Jay FM Remix,0,,,,,,0,0.0,0UBsUpYZsqvchS4rCL3tJI,,0,363840,0,,,0.7889999747276306,0.6359999775886536,0,-9.425999641418455,0,0.0715000033378601,0.2790000140666961,0.8579999804496765,0.3019999861717224,0.6449999809265137,125.01699829101562,4,1,0
2Tj6kajSxcrz7vLXC4pz1D,Diesel,0,,,,,,0,0.0,2Tj6kajSxcrz7vLXC4pz1D,,0,205714,1,,,0.6819999814033508,0.703000009059906,7,-6.765999794006348,1,0.2240000069141388,0.1589999943971634,0.0,0.1289999932050705,0.6290000081062317,94.36299896240234,4,1,0
7E98HBuftmnoklbU2JTE0h,Luka - Morten Hampenberg Remix,0,,,,,,0,0.0,7E98HBuftmnoklbU2JTE0h,,0,196706,0,,,0.7599999904632568,0.7059999704360962,1,-8.359000205993652,0,0.0408000014722347,0.1030000001192092,0.0025899999309331,0.0760999992489814,0.5370000004768372,121.9980010986328,4,1,0
756Ru4zpWT9uaIV7LKv0de,Жёлтые Розы (feat. Нина Кирсо | Сергей Кузнецов),0,,,,,,0,0.0,756Ru4zpWT9uaIV7LKv0de,,0,232019,0,,,0.6970000267028809,0.6859999895095825,7,-6.98799991607666,0,0.0350000001490116,0.2280000001192093,0.0,0.2899999916553497,0.7590000033378601,128.0030059814453,4,1,0
4W1gbeNodsWa8JR9dkKbqO,Gidduu Lafaa,0,,,,,,0,0.0,4W1gbeNodsWa8JR9dkKbqO,,0,259546,0,,,0.6809999942779541,0.628000020980835,7,-6.71999979019165,1,0.0712999999523162,0.3510000109672546,0.0,0.1159999966621398,0.7390000224113464,84.86399841308594,4,1,0
3la9F01YzN1A14Y7Wwpyzk,Stay Alive,0,,,,,,0,0.0,3la9F01YzN1A14Y7Wwpyzk,,0,276899,1,,,0.6740000247955322,0.6859999895095825,10,-9.35099983215332,0,0.3300000131130218,0.1609999984502792,0.0,0.1560000032186508,0.6480000019073486,157.95599365234375,4,1,0
6JvlqtnaiF9JDCURxpVrxF,Hoes Like,0,,,,,,0,0.0,6JvlqtnaiF9JDCURxpVrxF,,0,219428,1,,,0.7360000014305115,0.7459999918937683,10,-6.007999897003174,0,0.2549999952316284,0.1080000028014183,0.0,0.2770000100135803,0.7070000171661377,139.968994140625,4,1,0
1aZZSMUEji5FuEVglvTYE4,When You Spen Money,0,,,,,,0,0.0,1aZZSMUEji5FuEVglvTYE4,,0,204329,1,,,0.6890000104904175,0.7450000047683716,1,-4.076000213623047,0,0.2739999890327453,0.1490000039339065,0.0,0.1180000007152557,0.5640000104904175,56.33399963378906,4,1,0
4G5UAdJJwDNfSSKHDlnSsw,Message Of The Cross,0,,,,,,0,0.0,4G5UAdJJwDNfSSKHDlnSsw,,0,287200,0,,,0.6740000247955322,0.6819999814033508,7,-7.241000175476074,1,0.0344999991357326,0.1589999943971634,0.0,0.3759999871253967,0.5680000185966492,117.0719985961914,4,1,0
